reference_id,authors,title,journal,year,volume,citation_footer,citation_type,citation,urls,pubmed_id,doi,header,reference_type,study_id,exclusion_reason,PUBMED_ID_TITLE_AUTHORS,PUBMED_ID_TITLE,PUBMED_ID_S2,N_CITATIONS,S2_PDF_LINK,CORE_PDF_LINK,PUBMED_ID
CD002143-bib-0029,"Devereux S, Hatton MQF, Macbeth FR. ",Immediate side effects of large fraction radiotherapy, Clinical Oncology ,1997,9,    ,['citation-journal']," Devereux S, Hatton MQF, Macbeth FR. Immediate side effects of large fraction radiotherapy.  Clinical Oncology 1997;9:96‐9.    Link to article     Google Scholar     ","['https://doi.org/10.1016/S0936-6555(05)80447-9', 'https://scholar.google.com/scholar_lookup?title=Immediate+side+effects+of+large+fraction+radiotherapy&author=S+Devereux&author=MQF+Hatton&author=FR+Macbeth&publication_year=1997&hl=en']",,https://doi.org/10.1016/S0936-6555(05)80447-9, Devereux 1997 ,additional,CD002143-bbs2-0029,,,,9135894,18,,,9135894
CD002143-bib-0030,"Fairchild A, Harris K, Barnes E, Wong R, Lutz S, Bezjak A, et al. ",Palliative Thoracic Radiotherapy for Lung Cancer: a Systematic Review, Journal of Clinical Oncology ,2008,26,    ,['citation-journal']," Fairchild A, Harris K, Barnes E, Wong R, Lutz S, Bezjak A, et al. Palliative Thoracic Radiotherapy for Lung Cancer: a Systematic Review.  Journal of Clinical Oncology 2008;26(24):4001‐11.    Link to article     Google Scholar     ","['https://doi.org/10.1200/JCO.2007.15.3312', 'https://scholar.google.com/scholar_lookup?title=Palliative+Thoracic+Radiotherapy+for+Lung+Cancer:+a+Systematic+Review&author=A+Fairchild&author=K+Harris&author=E+Barnes&author=R+Wong&author=S+Lutz&author=A+Bezjak&publication_year=2008&hl=en']",,https://doi.org/10.1200/JCO.2007.15.3312, Fairchild 2008 ,additional,CD002143-bbs2-0030,,,,18711191,240,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2007.15.3312?role=tab,http://core.ac.uk/labs/oadiscovery/redirect?url=http%3A%2F%2Fpdfs.semanticscholar.org%2Fb2e5%2Fe79bfc391420254defde0bf70aec163e913c.pdf&key=FFB4B2C657D4FBD9D9924840F5FE4D36,18711191
CD002143-bib-0031,"Fayers PM, Bleehen NM, Girling DJ, Stephens R, Hopwood P. ",Assessment of quality of life in small‐cell lung cancer using a daily diary card developed by the MRC Lung Cancer Working Party, British Journal of Cancer ,1991,64,    ,['citation-journal']," Fayers PM, Bleehen NM, Girling DJ, Stephens R, Hopwood P. Assessment of quality of life in small‐cell lung cancer using a daily diary card developed by the MRC Lung Cancer Working Party.  British Journal of Cancer 1991;64:299‐306.    Link to article     Google Scholar     ","['https://doi.org/10.1038/bjc.1991.296', 'https://scholar.google.com/scholar_lookup?title=Assessment+of+quality+of+life+in+small‐cell+lung+cancer+using+a+daily+diary+card+developed+by+the+MRC+Lung+Cancer+Working+Party+&author=PM+Fayers&author=NM+Bleehen&author=DJ+Girling&author=R+Stephens&author=P+Hopwood&publication_year=1991&hl=en']",,https://doi.org/10.1038/bjc.1991.296, Fayers 1991 ,additional,CD002143-bbs2-0031,,,,1654074,64,https://europepmc.org/articles/pmc1977498?pdf=render,http://core.ac.uk/labs/oadiscovery/redirect?url=https%3A%2F%2Fwww.nature.com%2Farticles%2Fbjc1991296.pdf&key=2D0BE392CACFAE2B46D71FC2C3F948A7,1654074
CD002143-bib-0032,"Fowler JF, Lindstrom MJ. ",Loss of local control with prolongation in radiotherapy," International Journal of Radiation Oncology, Biology, Physics ",1992,23,    ,['citation-journal']," Fowler JF, Lindstrom MJ. Loss of local control with prolongation in radiotherapy.  International Journal of Radiation Oncology, Biology, Physics 1992;23:457‐67.    Link to article     Google Scholar     ","['https://doi.org/10.1016/0360-3016(92)90768-D', 'https://scholar.google.com/scholar_lookup?title=Loss+of+local+control+with+prolongation+in+radiotherapy&author=JF+Fowler&author=MJ+Lindstrom&publication_year=1992&hl=en']",,https://doi.org/10.1016/0360-3016(92)90768-D, Fowler 1992 ,additional,CD002143-bbs2-0032,,7860396,,1534082,471,https://doi.org/10.1016/0360-3016(92)90768-d,http://core.ac.uk/labs/oadiscovery/redirect?url=https%3A%2F%2Fdoi.org%2F10.1016%2F0360-3016%2892%2990768-d&key=C72043DA1EA26CC99929682F16C7B2E2,1534082
CD002143-bib-0033,"Greenland S, Longnecker MP. ","Methods for trend estimation from summarized dose‐response data, with applications to meta‐analysis.", American Journal of Epidemiology ,1992,135,    ,['citation-journal']," Greenland S, Longnecker MP. Methods for trend estimation from summarized dose‐response data, with applications to meta‐analysis..  American Journal of Epidemiology 1992;135:1301‐9.    Link to article     Google Scholar     ","['https://doi.org/10.1093/oxfordjournals.aje.a116237', 'https://scholar.google.com/scholar_lookup?title=Methods+for+trend+estimation+from+summarized+dose‐response+data,+with+applications+to+meta‐analysis.+&author=S+Greenland&author=MP+Longnecker&publication_year=1992&hl=en']",,https://doi.org/10.1093/oxfordjournals.aje.a116237, Greenland 1992 ,additional,CD002143-bbs2-0033,,1626547,1626547,1626547,2050,,http://core.ac.uk/labs/oadiscovery/redirect?url=http%3A%2F%2Fpdfs.semanticscholar.org%2F94f4%2Fd23a3227d3f22b802257d97e737039b5e37a.pdf&key=ED437D0431DC195028196D6EAF4698A6,1626547
CD002143-bib-0034,"Hatton MJQ, Nixon Dl, Macbeth FR, Symonds RP. ",Acute changes in expiratory flow rate following palliative radiotherapy for bronchial carcinoma, Radiotherapy and Oncology ,1997,44,    ,['citation-journal']," Hatton MJQ, Nixon Dl, Macbeth FR, Symonds RP. Acute changes in expiratory flow rate following palliative radiotherapy for bronchial carcinoma.  Radiotherapy and Oncology 1997;44:31‐4.    Link to article     Google Scholar     ","['https://doi.org/10.1016/S0167-8140(96)01892-0', 'https://scholar.google.com/scholar_lookup?title=Acute+changes+in+expiratory+flow+rate+following+palliative+radiotherapy+for+bronchial+carcinoma+&author=MJQ+Hatton&author=Dl+Nixon&author=FR+Macbeth&author=RP+Symonds&publication_year=1997&hl=en']",,https://doi.org/10.1016/S0167-8140(96)01892-0, Hatton 1997 ,additional,CD002143-bbs2-0034,,,,9288854,10,,,9288854
CD002143-bib-0035,"Higgins JPT, Green S (editors). ",,Cochrane Handbook for Systematic Reviews of Interventions version 5.1.0,Mar 2011,,.   ,['citation-book']," Higgins JPT, Green S (editors). Cochrane Handbook for Systematic Reviews of Interventions version 5.1.0. The Cochrane Collaboration. Available from www.cochrane‐handbook.org, Mar 2011.    ",[],,, Higgins 2011 ,additional,CD002143-bbs2-0035,,,,,,,,
CD002143-bib-0036,"Hopwood P, Stephens RJ, Machin D. ",Approaches to the analysis of quality of life data: experiences gained from a MRC Lung Cancer Working Party palliative chemotherapy trial, Quality of Life Research ,1994,3,    ,['citation-journal']," Hopwood P, Stephens RJ, Machin D. Approaches to the analysis of quality of life data: experiences gained from a MRC Lung Cancer Working Party palliative chemotherapy trial.  Quality of Life Research 1994;3:339‐52.    Link to article     Google Scholar     ","['https://doi.org/10.1007/BF00451726', 'https://scholar.google.com/scholar_lookup?title=Approaches+to+the+analysis+of+quality+of+life+data:+experiences+gained+from+a+MRC+Lung+Cancer+Working+Party+palliative+chemotherapy+trial+&author=P+Hopwood&author=RJ+Stephens&author=D+Machin&publication_year=1994&hl=en']",,https://doi.org/10.1007/BF00451726, Hopwood 1994 ,additional,CD002143-bbs2-0036,,,,7531054,65,,,7531054
CD002143-bib-0037,"Koukourakis M, Hlouverakis G, Kosma L, Skarlatos J, Damilakis J, Giatromanolaki A, et al. ",The impact of overall treatment time on the results of radiotherapy for non‐small cell lung cancer," International Journal of Radiation Oncology, Biology, Physics ",1996,34,    ,['citation-journal']," Koukourakis M, Hlouverakis G, Kosma L, Skarlatos J, Damilakis J, Giatromanolaki A, et al. The impact of overall treatment time on the results of radiotherapy for non‐small cell lung cancer.  International Journal of Radiation Oncology, Biology, Physics 1996;34(2):315‐22.    Link to article     Google Scholar     ","['https://doi.org/10.1016/0360-3016(95)02102-7', 'https://scholar.google.com/scholar_lookup?title=The+impact+of+overall+treatment+time+on+the+results+of+radiotherapy+for+non‐small+cell+lung+cancer+&author=M+Koukourakis&author=G+Hlouverakis&author=L+Kosma&author=J+Skarlatos&author=J+Damilakis&author=A+Giatromanolaki&publication_year=1996&hl=en']",,https://doi.org/10.1016/0360-3016(95)02102-7, Koukourakis 1996 ,additional,CD002143-bbs2-0037,,,,8567332,92,,,8567332
CD002143-bib-0038,"Macbeth FR, Wheldon T, Stephens R, Machin D. ",Radiation myelopathy: estimates of risk in 1048 patients in three randomised trials of palliative radiotherapy for non‐small cell lung cancer, Clinical Oncology ,1996,8,    ,['citation-journal']," Macbeth FR, Wheldon T, Stephens R, Machin D. Radiation myelopathy: estimates of risk in 1048 patients in three randomised trials of palliative radiotherapy for non‐small cell lung cancer.  Clinical Oncology 1996;8:176‐81.    Link to article     Google Scholar     ","['https://doi.org/10.1016/S0936-6555(96)80042-2', 'https://scholar.google.com/scholar_lookup?title=Radiation+myelopathy:+estimates+of+risk+in+1048+patients+in+three+randomised+trials+of+palliative+radiotherapy+for+non‐small+cell+lung+cancer+&author=FR+Macbeth&author=T+Wheldon&author=R+Stephens&author=D+Machin&publication_year=1996&hl=en']",,https://doi.org/10.1016/S0936-6555(96)80042-2, Macbeth 1996 ,additional,CD002143-bbs2-0038,,8814372,,8814372,97,,,8814372
CD002143-bib-0039,"Maher EJ, Coia L, Duncan G, Lawton PA. ","Treatment strategies in advanced and metastatic cancer: differences in attitude between the USA, Canada and Europe"," International Journal of Radiation, Oncology, Biology and Physics ",1992,23,    ,['citation-journal']," Maher EJ, Coia L, Duncan G, Lawton PA. Treatment strategies in advanced and metastatic cancer: differences in attitude between the USA, Canada and Europe.  International Journal of Radiation, Oncology, Biology and Physics 1992;23(1):239‐44.    Link to article     Google Scholar     ","['https://doi.org/10.1016/0360-3016(92)90568-3', 'https://scholar.google.com/scholar_lookup?title=Treatment+strategies+in+advanced+and+metastatic+cancer:+differences+in+attitude+between+the+USA,+Canada+and+Europe+&author=EJ+Maher&author=L+Coia&author=G+Duncan&author=PA+Lawton&publication_year=1992&hl=en']",,https://doi.org/10.1016/0360-3016(92)90568-3, Maher 1992 ,additional,CD002143-bbs2-0039,,1572821,1572821,1572821,96,,,1572821
CD002143-bib-0040,"Maher EJ, Timothy A, Squire CJ, Goodman A, Karp SJ, Paine CH, et al. ",Audit: the use of radiotherapy for NSCLC in the UK, Clinical Oncology ,1993,5,    ,['citation-journal']," Maher EJ, Timothy A, Squire CJ, Goodman A, Karp SJ, Paine CH, et al. Audit: the use of radiotherapy for NSCLC in the UK.  Clinical Oncology 1993;5(2):72‐9.    Link to article     Google Scholar     ","['https://doi.org/10.1016/S0936-6555(05)80850-7', 'https://scholar.google.com/scholar_lookup?title=Audit:+the+use+of+radiotherapy+for+NSCLC+in+the+UK&author=EJ+Maher&author=A+Timothy&author=CJ+Squire&author=A+Goodman&author=SJ+Karp&author=CH+Paine&publication_year=1993&hl=en']",,https://doi.org/10.1016/S0936-6555(05)80850-7, Maher 1993 ,additional,CD002143-bbs2-0040,,,,7683203,48,,,7683203
CD002143-bib-0041,"Mantel N, Haenszel W. ",Statistical aspects of the analysis of data from retrospective studies of disease, Journal of the National Cancer Institute ,1959,22,    ,['citation-journal']," Mantel N, Haenszel W. Statistical aspects of the analysis of data from retrospective studies of disease.  Journal of the National Cancer Institute 1959;22:719‐48.    PubMed     Google Scholar     ","['https://www.ncbi.nlm.nih.gov/pubmed/13655060', 'https://scholar.google.com/scholar_lookup?title=Statistical+aspects+of+the+analysis+of+data+from+retrospective+studies+of+disease&author=N+Mantel&author=W+Haenszel&publication_year=1959&hl=en']",13655060,, Mantel 1959 ,additional,CD002143-bbs2-0041,,13655060,,,,,,13655060
CD002143-bib-0042,"Miller, Hoogstraten, Staquet, Winkler. ",Reporting results of cancer treatment, Cancer ,1981,47,    ,['citation-journal']," Miller, Hoogstraten, Staquet, Winkler. Reporting results of cancer treatment.  Cancer 1981;47:207‐14.    Link to article     Google Scholar     ","['https://doi.org/10.1002/1097-0142(19810101)47:1<207::AID-CNCR2820470134>3.0.CO;2-6', 'https://scholar.google.com/scholar_lookup?title=Reporting+results+of+cancer+treatment&author=+Miller&author=+Hoogstraten&author=+Staquet&author=+Winkler&publication_year=1981&hl=en']",,https://doi.org/10.1002/1097-0142(19810101)47:1<207::AID-CNCR2820470134>3.0.CO;2-6, Miller 1981 ,additional,CD002143-bbs2-0042,,7459811,,7459811,7927,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/1097-0142%2819810101%2947%3A1%3C207%3A%3AAID-CNCR2820470134%3E3.0.CO%3B2-6,,7459811
CD002143-bib-0043,"Montazeri A, Gillis CR, McEwen J. ",Measuring quality of life in oncology: is it worthwhile? II. Experiences form the treatment of cancer, European Journal of Cancer Care ,1996,5,    ,['citation-journal']," Montazeri A, Gillis CR, McEwen J. Measuring quality of life in oncology: is it worthwhile? II. Experiences form the treatment of cancer.  European Journal of Cancer Care 1996;5(3):168‐75. [MEDLINE: 9720022]    Link to article     Google Scholar     ","['https://doi.org/10.1111/j.1365-2354.1996.tb00229.x', 'https://scholar.google.com/scholar_lookup?title=Measuring+quality+of+life+in+oncology:+is+it+worthwhile?+II.+Experiences+form+the+treatment+of+cancer+&author=A+Montazeri&author=CR+Gillis&author=J+McEwen&publication_year=1996&hl=en']",,https://doi.org/10.1111/j.1365-2354.1996.tb00229.x, Montazeri 1996 ,additional,CD002143-bbs2-0043,,,,9117051,22,,http://core.ac.uk/labs/oadiscovery/redirect?url=https%3A%2F%2Fdoi.org%2F10.1111%2Fj.1365-2354.1996.tb00229.x&key=95DE6EB3E4291CBF46B68ACF5D49B33D,9117051
CD002143-bib-0044,National Lung Cancer Audit Project Team. ,National Lung Cancer Audit 2013,,December 2013,,.   ,['citation-other'], National Lung Cancer Audit Project Team. National Lung Cancer Audit 2013. Health and Social Care Information CentreDecember 2013.    ,[],,, NLCA 2013 ,additional,CD002143-bbs2-0044,,,,,,,,
CD002143-bib-0045,Non‐small cell Lung Cancer Collaborative Group. ,Chemotherapy in non‐small cell lung cancer: a meta‐analysis using updated data on individual patients from 52 randomized clinical trials, BMJ ,1995,311,    ,['citation-journal'], Non‐small cell Lung Cancer Collaborative Group. Chemotherapy in non‐small cell lung cancer: a meta‐analysis using updated data on individual patients from 52 randomized clinical trials.  BMJ 1995;311:899‐909.    Link to article     ,['https://doi.org/10.1136/bmj.311.7010.899'],,https://doi.org/10.1136/bmj.311.7010.899, NSLCCG 1995 ,additional,CD002143-bbs2-0045,,,,7580546,2852,,,7580546
CD002143-bib-0046,"Old SE, Gilligan D. ",Do Steroids Prevent Adverse Effects of Palliative Chest Radiotherapy for Non‐Small Cell Lung Cancer?,,2000,,    ,['citation-other']," Old SE, Gilligan D. Do Steroids Prevent Adverse Effects of Palliative Chest Radiotherapy for Non‐Small Cell Lung Cancer?. Clinical Oncology. 2000; Vol. 12, issue 5:330‐1.    Google Scholar     ",['https://scholar.google.com/scholar_lookup?title=Do+Steroids+Prevent+Adverse+Effects+of+Palliative+Chest+Radiotherapy+for+Non‐Small+Cell+Lung+Cancer?+&author=SE+Old&author=D+Gilligan&publication_year=2000&hl=en'],,, Old 2000 ,additional,CD002143-bbs2-0046,,,,,,,,
CD002143-bib-0047,Version 5.3. Copenhagen: The Nordic Cochrane Centre. ,Review Manager (RevMan),,2014,,.   ,['citation-other']," Version 5.3. Copenhagen: The Nordic Cochrane Centre. Review Manager (RevMan). The Cochrane Collaboration, 2014.    ",[],,, RevMan 2014 [Computer program] ,additional,CD002143-bbs2-0047,,36483765,,,,,,36483765
CD002143-bib-0048,"Schultheiss TE, Stephens LC. ",Invited review: permanent radiation myelopathy, British Journal of Radiology ,1992,65,    ,['citation-journal']," Schultheiss TE, Stephens LC. Invited review: permanent radiation myelopathy.  British Journal of Radiology 1992;65:737‐53. [MEDLINE: 93006896]    Link to article     Google Scholar     ","['https://doi.org/10.1259/0007-1285-65-777-737', 'https://scholar.google.com/scholar_lookup?title=Invited+review:+permanent+radiation+myelopathy&author=TE+Schultheiss&author=LC+Stephens&publication_year=1992&hl=en']",,https://doi.org/10.1259/0007-1285-65-777-737, Schultheiss 1992 ,additional,CD002143-bbs2-0048,,1393407,1393407,1393407,165,,,1393407
CD002143-bib-0049,"Singer JM, Price P, Dale RG. ",Radiobiological prediction of normal tissue toxicities and tumour response in the radiotherapy of advanced non‐small cell lung cancer, British Journal of Cancer ,1998,78,    ,['citation-journal']," Singer JM, Price P, Dale RG. Radiobiological prediction of normal tissue toxicities and tumour response in the radiotherapy of advanced non‐small cell lung cancer.  British Journal of Cancer 1998;78(12):1629‐33. [MEDLINE: 99077391]    Link to article     Google Scholar     ","['https://doi.org/10.1038/bjc.1998.734', 'https://scholar.google.com/scholar_lookup?title=Radiobiological+prediction+of+normal+tissue+toxicities+and+tumour+response+in+the+radiotherapy+of+advanced+non‐small+cell+lung+cancer+&author=JM+Singer&author=P+Price&author=RG+Dale&publication_year=1998&hl=en']",,https://doi.org/10.1038/bjc.1998.734, Singer 1998 ,additional,CD002143-bbs2-0049,,9862575,,9862575,19,https://www.nature.com/articles/bjc1998734.pdf,http://core.ac.uk/labs/oadiscovery/redirect?url=https%3A%2F%2Fwww.nature.com%2Farticles%2Fbjc1998734.pdf&key=550266A5011098ABA1DF25A9643C9781,9862575
CD002143-bib-0050,"Stepehns RJ, Hopwood, Girling DJ, Machin D. ",Randomized trials with quality of life endpoints: are doctors' ratings of patient's physical symptoms interchangeable with patients' self‐ratings?, Quality of Life Research ,1997,6,    ,['citation-journal']," Stepehns RJ, Hopwood, Girling DJ, Machin D. Randomized trials with quality of life endpoints: are doctors' ratings of patient's physical symptoms interchangeable with patients' self‐ratings?.  Quality of Life Research 1997;6(3):225‐36. [MEDLINE: 97370694]    Google Scholar     ","[""https://scholar.google.com/scholar_lookup?title=Randomized+trials+with+quality+of+life+endpoints:+are+doctors'+ratings+of+patient's+physical+symptoms+interchangeable+with+patients'+self‐ratings?+&author=RJ+Stepehns&author=+Hopwood&author=DJ+Girling&author=D+Machin&publication_year=1997&hl=en""]",,, Stephens 1997 ,additional,CD002143-bbs2-0050,,,,,,,,
CD002143-bib-0051,"Thorogood J, Bulman AS, Collins T, Ash D. ",The use of discriminant analysis to guide palliative treatment for lung cancer patients, Clinical Oncology ,1992,4,    ,['citation-journal']," Thorogood J, Bulman AS, Collins T, Ash D. The use of discriminant analysis to guide palliative treatment for lung cancer patients.  Clinical Oncology 1992;4(1):22‐6.    Link to article     Google Scholar     ","['https://doi.org/10.1016/S0936-6555(05)80767-8', 'https://scholar.google.com/scholar_lookup?title=The+use+of+discriminant+analysis+to+guide+palliative+treatment+for+lung+cancer+patients&author=J+Thorogood&author=AS+Bulman&author=T+Collins&author=D+Ash&publication_year=1992&hl=en']",,https://doi.org/10.1016/S0936-6555(05)80767-8, Thorogood 1992 ,additional,CD002143-bbs2-0051,,1371068,1371068,1371068,21,,,1371068
CD002143-bib-0052,"F Macbeth, E Toy, B Coles, A Melville, A Eastwood. ",Palliative radiotherapy regimens for non‐small cell lung cancer, Cochrane Database of Systematic Reviews ,2001,,    ,['citation-journal']," F Macbeth, E Toy, B Coles, A Melville, A Eastwood. Palliative radiotherapy regimens for non‐small cell lung cancer.  Cochrane Database of Systematic Reviews 2001, Issue 2. [DOI: 10.1002/14651858.CD002143]    Google Scholar     ",['https://scholar.google.com/scholar_lookup?title=Palliative+radiotherapy+regimens+for+non‐small+cell+lung+cancer&author=Macbeth+F&author=Toy+E&author=Coles+B&author=Melville+A&author=Eastwood+A&publication_year=2001&hl=en'],,, 10.1002/14651858.CD002143 ,other_versions,CD002143-bbs2-0052,,,,,,,,
CD002143-bib-0053,"Jason F Lester, Fergus Macbeth, Elizabeth Toy, Bernadette Coles. ",Palliative radiotherapy regimens for non‐small cell lung cancer, Cochrane Database of Systematic Reviews ,2006,,    ,['citation-journal']," Jason F Lester, Fergus Macbeth, Elizabeth Toy, Bernadette Coles. Palliative radiotherapy regimens for non‐small cell lung cancer.  Cochrane Database of Systematic Reviews 2006, Issue 4. [DOI: 10.1002/14651858.CD002143]    Google Scholar     ",['https://scholar.google.com/scholar_lookup?title=Palliative+radiotherapy+regimens+for+non‐small+cell+lung+cancer&author=FLester+Jason&author=Macbeth+Fergus&author=Toy+Elizabeth&author=Coles+Bernadette&publication_year=2006&hl=en'],,, 10.1002/14651858.CD002143.pub2 ,other_versions,CD002143-bbs2-0053,,25586198,,,,,,25586198
