Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,effect_size,lower_ci,upper_ci,outcome_id,subgroup_id,outcome_name,subgroup_name
3.2 Quadrivalent vaccine,2,5503,"Risk Ratio (IV, Random, 95% CI)","2.79 [0.85, 9.15]",Adverse events,7,2.79,0.85,9.15,3,2,Swelling at injection site,Quadrivalent vaccine
4 Redness at injection site Show forest plot,6,19996,"Risk Ratio (IV, Random, 95% CI)","1.72 [1.50, 1.97]",Adverse events,7,1.72,1.5,1.97,4,,Redness at injection site,
4.1 Quadrivalent vaccine,1,5345,"Risk Ratio (IV, Random, 95% CI)","1.46 [1.32, 1.63]",Adverse events,7,1.46,1.32,1.63,4,1,Redness at injection site,Quadrivalent vaccine
4.2 Bivalent vaccine,5,14651,"Risk Ratio (IV, Random, 95% CI)","1.80 [1.53, 2.11]",Adverse events,7,1.8,1.53,2.11,4,2,Redness at injection site,Bivalent vaccine
5 Overall systemic event and general symptoms Show forest plot,8,18191,"Risk Ratio (IV, Random, 95% CI)","1.02 [0.98, 1.07]",Adverse events,7,1.02,0.98,1.07,5,,Overall systemic event and general symptoms,
5.1 Bivalent vaccine,2,6503,"Risk Ratio (IV, Random, 95% CI)","1.07 [0.97, 1.19]",Adverse events,7,1.07,0.97,1.19,5,1,Overall systemic event and general symptoms,Bivalent vaccine
5.2 Quadrivalent vaccine,6,11688,"Risk Ratio (IV, Random, 95% CI)","1.01 [0.98, 1.04]",Adverse events,7,1.01,0.98,1.04,5,2,Overall systemic event and general symptoms,Quadrivalent vaccine
6 Serious adverse events Show forest plot,23,71597,"Risk Ratio (IV, Random, 95% CI)","0.98 [0.92, 1.05]",Adverse events,7,0.98,0.92,1.05,6,,Serious adverse events,
6.1 Monovalent vaccine,1,2387,"Risk Ratio (IV, Random, 95% CI)","0.95 [0.51, 1.78]",Adverse events,7,0.95,0.51,1.78,6,1,Serious adverse events,Monovalent vaccine
6.2 Bivalent vaccine,15,46231,"Risk Ratio (IV, Random, 95% CI)","1.01 [0.96, 1.07]",Adverse events,7,1.01,0.96,1.07,6,2,Serious adverse events,Bivalent vaccine
6.3 Quadrivalent vaccine,7,22979,"Risk Ratio (IV, Random, 95% CI)","0.81 [0.65, 1.02]",Adverse events,7,0.81,0.65,1.02,6,3,Serious adverse events,Quadrivalent vaccine
7 Deaths Show forest plot,23,71176,"Risk Ratio (IV, Random, 95% CI)","1.29 [0.85, 1.98]",Adverse events,7,1.29,0.85,1.98,7,,Deaths,
7.1 Monovalent vaccine,1,2280,"Risk Ratio (IV, Random, 95% CI)","0.0 [0.0, 0.0]",Adverse events,7,0.0,0.0,0.0,7,1,Deaths,Monovalent vaccine
7.2 Bivalent vaccine,15,46231,"Risk Ratio (IV, Random, 95% CI)","1.21 [0.66, 2.22]",Adverse events,7,1.21,0.66,2.22,7,2,Deaths,Bivalent vaccine
7.3 Quadrivalent vaccine,7,22665,"Risk Ratio (IV, Random, 95% CI)","1.54 [0.73, 3.23]",Adverse events,7,1.54,0.73,3.23,7,3,Deaths,Quadrivalent vaccine
1 Normal infant Show forest plot,8,8782,"Risk Ratio (IV, Random, 95% CI)","1.00 [0.97, 1.02]",Pregnancy outcomes,8,1.0,0.97,1.02,1,,Normal infant,
2 Spontaneous abortion/miscarriage Show forest plot,9,8618,"Risk Ratio (IV, Random, 95% CI)","0.88 [0.68, 1.14]",Pregnancy outcomes,8,0.88,0.68,1.14,2,,Spontaneous abortion/miscarriage,
3 Elective termination/induced abortion Show forest plot,9,10909,"Risk Ratio (IV, Random, 95% CI)","0.90 [0.80, 1.02]",Pregnancy outcomes,8,0.9,0.8,1.02,3,,Elective termination/induced abortion,
4 Stillbirth Show forest plot,6,8754,"Risk Ratio (IV, Random, 95% CI)","1.12 [0.68, 1.83]",Pregnancy outcomes,8,1.12,0.68,1.83,4,,Stillbirth,
5 Abnormal infant Show forest plot,5,9252,"Risk Ratio (IV, Random, 95% CI)","1.22 [0.88, 1.69]",Pregnancy outcomes,8,1.22,0.88,1.69,5,,Abnormal infant,
