Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,outcome_id,subgroup_id,outcome_name,subgroup_name,effect_size,lower_ci,upper_ci
Tasdelen 2015,Total adverse events,12/17,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Tasdelen,,,,,,
Valdizán Usón 2013,Total adverse events,177/689,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Valdizán,,,,,,
Warshaw 2010,Total adverse events,242/260,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Warshaw,,,,,,
Weiss 2007,Total adverse events,64/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Weiss,,,,,,
Wigal 2013,Total adverse events,42/45,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wigal,,,,,,
Wilens 2005,Total adverse events,344/407,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Wilens 2006,Total adverse events,96/135,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Yatsuga 2014,Total adverse events,7/50,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yatsuga,,,,,,
Zheng 2015,Total adverse events,24/123,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zheng,,,,,,
2 Central nervous system Show forest plot,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,2,,Central nervous system,,,,
Study,Symptom,Adverse events/total number of participants,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Study,,,,,,
Affect lability,Affect lability,Affect lability,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Affect,,,,,,
Sahin 2014,Moodiness,10/30,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sahin,,,,,,
Wigal 2013,Affect lability,12/44,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wigal,,,,,,
Aggression,Aggression,Aggression,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Aggression,,,,,,
Barrickman 1995,Anger,1/15,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Barrickman,,,,,,
Berek 2011,Aggressive reaction,13/762,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Berek,,,,,,
Davari‐Ashtiani 2010,Aggression,1/16,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Davari‐Ashtiani,,,,,,
Dittmann 2014,Aggression,0/195,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Dittmann,,,,,,
"Döpfner 2011a, OBSEER",Aggression,31/777,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Döpfner 2011b,Aggression,2/113,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Haertling 2015,Aggression,3/239,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Haertling,,,,,,
Kemner 2005 (FOCUS),Aggression,10/850,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kemner,,,,,,
Kordon 2011,Aggression,10/541,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kordon,,,,,,
Lee 2014,Aggression,7/100,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lee,,,,,,
Mayes 1994,Aggression,1/69,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mayes,,,,,,
Na 2013,Anger,6/103,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Remschmidt 2005,Aggression,1/105,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Remschmidt,,,,,,
Wilens 2005,Hostility,8/407,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Anorexia,Anorexia,Anorexia,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Anorexia,,,,,,
Arabgol 2015,Anorexia,8/15,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arabgol,,,,,,
Arnold 2004,Anorexia,16/76,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arnold,,,,,,
Arnold 2010,Anorexia,6/150,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arnold,,,,,,
Berek 2011,Anorexia,35/762,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Berek,,,,,,
Cortese 2015,Anorexia,9/1426,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cortese,,,,,,
"Döpfner 2011a, OBSEER",Anorexia,9/777,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Döpfner 2011b,Anorexia,0/113,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Gerwe 2009,Anorexia,20/263,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gerwe,,,,,,
Greenhill 1983,Anorexia,5/7,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Greenhill,,,,,,
Haertling 2015,Anorexia,11/239,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Haertling,,,,,,
Khajehpiri 2014,Anorexia,45/71,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Khajehpiri,,,,,,
Kordon 2011,Anorexia,23/541,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kordon,,,,,,
Kratochvil 2002,Anorexia,6/25,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kratochvil,,,,,,
Lee 2007,Anorexia,29/110,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lee,,,,,,
Na 2013,Anorexia,66/103,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Song 2012,Anorexia,104/116,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Song,,,,,,
Wang 2007,Anorexia,42/166,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wang,,,,,,
Warshaw 2010,Anorexia,9/260,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Warshaw,,,,,,
Weiss 2007,Anorexia,16/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Weiss,,,,,,
Wilens 2006,Anorexia,22/220,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Yildiz 2011,Anorexia,9/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Zelnik 2015,Anorexia,36/128,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zelnik,,,,,,
Çetin 2015,Anorexia,12/61,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Çetin,,,,,,
Anxiety,Anxiety,Anxiety,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Anxiety,,,,,,
Abbasi 2011,Anxiety,9/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abbasi,,,,,,
Akhondzadeh 2003,Anxiety,3/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Akhondzadeh,,,,,,
Akhondzadeh 2004,Anxiety,3/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Akhondzadeh,,,,,,
Amiri 2008,"Anxiety, nervousness",4/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Amiri,,,,,,
Barrickman 1995,Anxiety,1/15,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Barrickman,,,,,,
Blader 2010,Anxiety or nervousness,12/65,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Blader,,,,,,
Davari‐Ashtiani 2010,Phobia & anxiety,2/16,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Davari‐Ashtiani,,,,,,
Efron 1997,Anxiousness,76/123,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Efron,,,,,,
El‐Fiky 2014,Anxious,2/31,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,El‐Fiky,,,,,,
Gau 2006,Anxious,10/32,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gau,,,,,,
Ghanizadeh 2012,Anxiety,1/12,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Ghanizadeh,,,,,,
Green 2011,Anxiousness,4/14,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Green,,,,,,
Hammerness 2009,Anxiety,2/57,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hammerness,,,,,,
Hazell 2003,Anxious,6/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hazell,,,,,,
Jafarinia 2012,Anxiety,5/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Jafarinia,,,,,,
Maia 2008,Anxious,12/31,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maia,,,,,,
Mohammadi 2004,Anxiety,0/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Mohammadi 2010,Anxiety,9/19,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Na 2013,Anxiety,9/103,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Song 2012,Anxiety,12/116,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Song,,,,,,
Wilens 2005,Anxiety,9/407,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Zelnik 2015,Anxiety,21/128,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zelnik,,,,,,
Fingernail biting,Fingernail biting,Fingernail biting,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Fingernail,,,,,,
Blader 2010,Bites fingernails,9/65,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Blader,,,,,,
Efron 1997,Biting fingernails,56/123,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Efron,,,,,,
El‐Fiky 2014,Bites fingers,0/31,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,El‐Fiky,,,,,,
Gau 2006,Biting fingernails,8/32,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gau,,,,,,
Green 2011,Biting fingernails,3/14,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Green,,,,,,
Hazell 2003,Biting fingernails,2/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hazell,,,,,,
Maia 2008,Bites fingernails,3/31,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maia,,,,,,
Sahin 2014,Nail biting,3/30,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sahin,,,,,,
Shang 2015,Nail biting,1/66,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Shang,,,,,,
Daydreams,Daydreams,Daydreams,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Daydreams,,,,,,
Efron 1997,Daydreams,77/123,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Efron,,,,,,
Gau 2006,Daydreams,10/32,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gau,,,,,,
Green 2011,Daydreams,3/14,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Green,,,,,,
Sahin 2014,Daydreams,7/30,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sahin,,,,,,
Difficulty falling asleep,Difficulty falling asleep,Difficulty falling asleep,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Difficulty,,,,,,
Akhondzadeh 2003,Difficulty falling asleep,4/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Akhondzadeh,,,,,,
Akhondzadeh 2004,Difficulty falling asleep,6/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Akhondzadeh,,,,,,
Altin 2013,Insomnia,5/71,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Altin,,,,,,
Amiri 2008,Difficulty falling asleep,8/30,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Amiri,,,,,,
Ardic 2014,Insomnia,19/101,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Ardic,,,,,,
Arnold 2004,Insomnia,16/76,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arnold,,,,,,
Arnold 2010,Insomnia,9/171,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arnold,,,,,,
Atzori 2009,Insomnia,3/129,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Atzori,,,,,,
Barrickman 1995,Insomnia,1/15,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Barrickman,,,,,,
Berek 2011,Insomnia,59/762,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Berek,,,,,,
Blader 2010,Insomnia,21/65,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Blader,,,,,,
Chou 2012b,Insomnia,25/230,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Chou,,,,,,
Cortese 2015,Insomnia,31/1426,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cortese,,,,,,
Coşkun 2010,Sleep problems,4/7,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Coşkun,,,,,,
Davari‐Ashtiani 2010,Sleep problems,7/16,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Davari‐Ashtiani,,,,,,
"Döpfner 2011a, OBSEER",Initial insomnia,11/777,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Döpfner 2011b,Initial insomnia,3/113,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Efron 1997,Trouble sleeping,79/123,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Efron,,,,,,
El‐Fiky 2014,Insomnia,2/31,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,El‐Fiky,,,,,,
Famularo 1987,Later sleep onset,1/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Famularo,,,,,,
Garg 2014,Insomnia,1/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Garg,,,,,,
Gau 2006,Insomnia or trouble sleeping,15/32,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gau,,,,,,
Germinario 2013,Insomnia,1/9,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Germinario,,,,,,
Gerwe 2009,Difficulty falling asleep,73/263,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gerwe,,,,,,
Grcevich 2001,Sleep problems,7/75,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Grcevich,,,,,,
Green 2011,Trouble sleeping,7/34,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Green,,,,,,
Greenhill 1983,Insomnia,2/7,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Greenhill,,,,,,
Gucuyener 2003,Difficulty falling asleep,19/119,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gucuyener,,,,,,
Haertling 2015,Insomnia,3/239,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Haertling,,,,,,
Hazell 2003,Sleep problems,7/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hazell,,,,,,
Işeri 2007,Sleep problems,5/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Işeri,,,,,,
Jafarinia 2012,Insomnia,10/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Jafarinia,,,,,,
Jensen 1999 (MTA),Insomnia,12/245,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Jensen,,,,,,
Johnson 2013,Insomnia (new onset),12/45,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Johnson,,,,,,
Jung 2007,Insomnia,16/83,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Jung,,,,,,
Kemner 2005 (FOCUS),Insomnia,53/850,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kemner,,,,,,
Khajehpiri 2014,Insomnia,44/71,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Khajehpiri,,,,,,
Kim 2010,Insomnia,6/24,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kim,,,,,,
Kordon 2011,Insomnia,46/541,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kordon,,,,,,
Kratochvil 2002,Insomnia,7/25,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kratochvil,,,,,,
Lee 2007,Insomnia,24110,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lee,,,,,,
Li 2011,Difficulty falling asleep,9/34,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Li,,,,,,
Maayan 2009,Trouble sleeping,3/8,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maayan,,,,,,
Maia 2008,Insomnia,5/31,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maia,,,,,,
Mayes 1994,Insomnia,9/63,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mayes,,,,,,
McCracken 2016,Insomnia,20/61,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,McCracken,,,,,,
Miller‐Horn 2008,Insomnia,2/23,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Miller‐Horn,,,,,,
Mohammadi 2004,Difficulty falling asleep,4/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Mohammadi 2010,Trouble sleeping,9/19,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Mohammadi 2012a,Difficulty falling asleep,8/23,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Mohammadi 2012b,Insomnia,9/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Montañés‐Rada 2012,Insomnia,5/40,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Montañés‐Rada,,,,,,
Na 2013,Trouble sleeping,37/103,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Peyre 2012a,Insomnia,21/121,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Peyre,,,,,,
Remschmidt 2005,Insomnia,3/89,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Remschmidt,,,,,,
Sahin 2014,Difficulty falling asleep,16/30,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sahin,,,,,,
Sangal 2006,Insomnia,21/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sangal,,,,,,
Shang 2015,Insomnia,12/66,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Shang,,,,,,
Song 2012,Insomnia,44/116,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Song,,,,,,
Steele 2006,Insomnia,12/60,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Steele,,,,,,
Su 2015,Insomnia,20/205,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Su,,,,,,
Tasdelen 2015,Insomnia,1/17,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Tasdelen,,,,,,
Thorell 2009,Difficulties falling asleep,15/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Thorell,,,,,,
Tomás Vila 2010b,Difficulty falling asleep,45/114,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Tomás,,,,,,
Valdizán Usón 2004,Initial insomnia,11/155,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Valdizán,,,,,,
Wang 2007,Insomnia,9/166,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wang,,,,,,
Warshaw 2010,Difficulty falling asleep,25/260,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Warshaw,,,,,,
Weiss 2007,Insomnia,13/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Weiss,,,,,,
Wigal 2013,Insomnia,9/39,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wigal,,,,,,
Wigal 2015,Insomnia,24/200,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wigal,,,,,,
Wilens 2005,Insomnia,81/229,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Wilens 2006,Insomnia,16/220,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Wilens 2008,Insomnia,25/127,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Yatsuga 2014,Insomnia,4/50,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yatsuga,,,,,,
Yildiz 2010,Difficulty sleeping,15/47,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Yildiz 2011,Insomnia,7/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Zarinara 2010,Insomnia,10/18,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zarinara,,,,,,
Zelnik 2015,Insomnia,31/128,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zelnik,,,,,,
Zeni 2007,Insomnia,21/106,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zeni,,,,,,
Zheng 2011,Insomnia,145/1154,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zheng,,,,,,
Zheng 2015,Insomnia,3/123,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zheng,,,,,,
Çetin 2015,Insomnia,5/61,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Çetin,,,,,,
Depression,Depression,Depression,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Depression,,,,,,
Atzori 2009,Vegetative symptoms,4/134,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Atzori,,,,,,
Cherland 1999,Mood symptoms or mood‐congruent psychotic symptoms,11/98,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cherland,,,,,,
"Döpfner 2011a, OBSEER",Depressed mood,13/777,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Grcevich 2001,Depression,1/75,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Grcevich,,,,,,
Haertling 2015,Depression,1/262,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Haertling,,,,,,
Kratochvil 2002,Depression,2/25,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kratochvil,,,,,,
Na 2013,Depression,9/103,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Song 2012,Depression,5/116,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Song,,,,,,
Valdizán Usón 2013,Depressive symptoms,7/689,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Valdizán,,,,,,
Weiss 2007,Depression,5/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Weiss,,,,,,
Wilens 2005,Depression,6/407,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Yildiz 2010,Depressive symptoms,4/47,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Yildiz 2011,Depression,3/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Disturbed sleep,Disturbed sleep,Disturbed sleep,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Disturbed,,,,,,
Abbas 2006,Sleeping problems,4/90,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abbas,,,,,,
Abbasi 2011,Trouble sleeping,10/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abbasi,,,,,,
Arabgol 2015,Disturbed sleep,4/15,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arabgol,,,,,,
Arnold 2010,Insomnia,9/150,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arnold,,,,,,
Blader 2010,Early waking,6/65,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Blader,,,,,,
Efron 1997,Trouble sleeping,79/123,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Efron,,,,,,
Findling 2009,Insomnia,29/157,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Findling,,,,,,
Galland 2010,Restless sleep,14/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Galland,,,,,,
Gau 2008,Poor sleep quality,37/607,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gau,,,,,,
Haertling 2015,Sleep disorder,1/239,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Haertling,,,,,,
Hammerness 2009,Insomnia,7/57,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hammerness,,,,,,
Hazell 2003,Nightmares,8/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hazell,,,,,,
Işeri 2007,Sleep problems,5/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Işeri,,,,,,
Kim 2010,Insomnia,6/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kim,,,,,,
Kim 2011,Poor sleep,8/97,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kim,,,,,,
Mohammadi 2004,Disturbed sleep,4/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Montañés‐Rada 2012,Insomnia,5/40,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Montañés‐Rada,,,,,,
Perera 2010,Poor sleep,13/102,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Perera,,,,,,
Remschmidt 2005,Delayed sleep,1/105,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Remschmidt,,,,,,
Steele 2006,Sleep disorder,3/60,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Steele,,,,,,
Su 2015,Poor quality sleep,1/205,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Su,,,,,,
Valdizán Usón 2013,Sleep disorder,33/689,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Valdizán,,,,,,
Yildiz 2011,Insomnia,7/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Zheng 2015,Poor sleep quality,3/149,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zheng,,,,,,
Dizziness,Dizziness,Dizziness,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Dizziness,,,,,,
Abbasi 2011,Dizziness,8/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abbasi,,,,,,
Blader 2010,Dizzy,1/65,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Blader,,,,,,
Chou 2012b,Dizziness,9/230,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Chou,,,,,,
Cortese 2015,Dizziness,5/1426,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cortese,,,,,,
Davari‐Ashtiani 2010,Dizziness,0/16,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Davari‐Ashtiani,,,,,,
Döpfner 2011b,Dizziness,1/113,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Efron 1997,Dizziness,15/123,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Efron,,,,,,
El‐Fiky 2014,Dizziness,0/31,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,El‐Fiky,,,,,,
Green 2011,Dizziness,3/14,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Green,,,,,,
Haertling 2015,Dizziness,1/239,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Haertling,,,,,,
